IDADE;SEXO;ANO;SIGLA;LOCAL;nMx;nAx;nqx;lx;ndx;nLx;Sx;Tx;ex
55;Mulheres;2022;BR;Brasil;0,00592;2,6606;0,02918;92.362;2.695;455.506;0,96378;2.537.634;27,47
60;Mulheres;2022;BR;Brasil;0,00911;2,66679;0,04458;89.667;3.997;439.009;0,94372;2.082.128;23,22
65;Mulheres;2022;BR;Brasil;0,01443;2,65075;0,06979;85.670;5.979;414.304;0,91525;1.643.118;19,18
70;Mulheres;2022;BR;Brasil;0,02169;2,65751;0,1032;79.691;8.224;379.190;0,86498;1.228.815;15,42
75;Mulheres;2022;BR;Brasil;0,03818;2,6569;0,17523;71.467;12.523;327.992;0,77327;849.625;11,89
80;Mulheres;2022;BR;Brasil;0,06747;2,59868;0,29031;58.944;17.112;253.628;0,63302;521.633;8,85
85;Mulheres;2022;BR;Brasil;0,12039;2,48517;0,46205;41.832;19.328;160.551;0,40094;268.005;6,41
90;Mulheres;2022;BR;Brasil;0,20943;4,77497;1;22.503;22.503;107.453; -   ;107.453;4,77
0;Homens;2022;BR;Brasil;0,01352;0,0809;0,01336;100.000;1.336;98.772;0,98572;7.210.830;72,11
1;Homens;2022;BR;Brasil;0,0006;1,61273;0,00241;98.664;238;394.089;0,99787;7.112.058;72,08
