Region;Period;Cause_death;Sex;Age.Group;obitos_corrigidos1;obitos_corrigidos2;Pop_ajustada;Pop_ajustada;nmx_cause_ajustado.1;nmx_cause_ajustado.2
AR;2019/2020;External_causes;Female;65;201,8659881;161,6229379;900630,5447;909374,2017;0,000224139;0,00017773
AR;2019/2020;Undefined ;Female;65;754,6234083;716,6597938;900630,5447;909374,2017;0,000837883;0,00078808
AR;2019/2020;All_other_causes;Female;65;2054,985602;1944,539639;900630,5447;909374,2017;0,002281719;0,002138327
AR;2019/2020;All_causes;Female;65;12181,51013;13748,7234;900630,5447;909374,2017;0,013525535;0,015118884
AR;2019/2020;Infec_parasit;Female;70;750,121547;665,3115865;770025,4488;778711,9403;0,000974152;0,000854374
AR;2019/2020;Covid;Female;70;0;2641,938995;770025,4488;778711,9403;0;0,003392704
AR;2019/2020;Neoplasms;Female;70;4144,407445;3911,060443;770025,4488;778711,9403;0,005382169;0,005022474
AR;2019/2020;Circulatory;Female;70;4406,060776;4187,618849;770025,4488;778711,9403;0,005721968;0,005377622
AR;2019/2020;Respiratory;Female;70;2697,138327;2519,522058;770025,4488;778711,9403;0,003502661;0,003235499
AR;2019/2020;Pregnancy;Female;70;0;0;770025,4488;778711,9403;0;0
AR;2019/2020;External_causes;Female;70;249,3044953;194,1508248;770025,4488;778711,9403;0,000323761;0,000249323
AR;2019/2020;Undefined ;Female;70;1016,533926;960,5650178;770025,4488;778711,9403;0,00132013;0,001233531
AR;2019/2020;All_other_causes;Female;70;2689,679243;2581,816325;770025,4488;778711,9403;0,003492974;0,003315496
AR;2019/2020;All_causes;Female;70;15953,24576;17661,9841;770025,4488;778711,9403;0,020717816;0,022681024
AR;2019/2020;Infec_parasit;Female;75;893,9116022;796,9794695;601502,3514;606864,2946;0,001486132;0,001313275
AR;2019/2020;Covid;Female;75;0;3151,946332;601502,3514;606864,2946;0;0,005193824
AR;2019/2020;Neoplasms;Female;75;3963,560575;3764,383119;601502,3514;606864,2946;0,006589435;0,006203006
AR;2019/2020;Circulatory;Female;75;5928,026556;5631,417328;601502,3514;606864,2946;0,009855367;0,009279533
AR;2019/2020;Respiratory;Female;75;3553,628023;3341,236686;601502,3514;606864,2946;0,00590792;0,005505739
AR;2019/2020;Pregnancy;Female;75;0;0;601502,3514;606864,2946;0;0
AR;2019/2020;External_causes;Female;75;322,985581;251,0746269;601502,3514;606864,2946;0,000536965;0,000413725
AR;2019/2020;Undefined ;Female;75;1293,496773;1360,047648;601502,3514;606864,2946;0,002150443;0,002241107
AR;2019/2020;All_other_causes;Female;75;3484,95949;3293,249287;601502,3514;606864,2946;0,005793759;0,005426665
AR;2019/2020;All_causes;Female;75;19440,5686;21590,3345;601502,3514;606864,2946;0,032320021;0,035576874
AR;2019/2020;Infec_parasit;Female;80;1084,961326;901,729886;429155,6693;431978,1755;0,00252813;0,002087443
AR;2019/2020;Covid;Female;80;0;3332,721209;429155,6693;431978,1755;0;0,007715022
AR;2019/2020;Neoplasms;Female;80;3517,471628;3311,290835;429155,6693;431978,1755;0,00819626;0,007665412
AR;2019/2020;Circulatory;Female;80;7931,512553;7889,614671;429155,6693;431978,1755;0,018481668;0,01826392
AR;2019/2020;Respiratory;Female;80;5270,628493;4500,297393;429155,6693;431978,1755;0,012281391;0,010417881
AR;2019/2020;Pregnancy;Female;80;0;0;429155,6693;431978,1755;0;0
AR;2019/2020;External_causes;Female;80;355,2841391;324,2623723;429155,6693;431978,1755;0,000827868;0,000750645
AR;2019/2020;Undefined ;Female;80;1772,160823;1862,913974;429155,6693;431978,1755;0,004129413;0,004312519
AR;2019/2020;All_other_causes;Female;80;4427,986326;4091,992445;429155,6693;431978,1755;0,010317902;0,009472683
AR;2019/2020;All_causes;Female;80;24360,00529;26214,82279;429155,6693;431978,1755;0,056762632;0,060685526
AR;2019/2020;Infec_parasit;Female;85;2419,292818;1925,171379;452336,7712;459722,6521;0,005348433;0,00418768
AR;2019/2020;Covid;Female;85;0;7040,121076;452336,7712;459722,6521;0;0,015313844
AR;2019/2020;Neoplasms;Female;85;4631,68929;4091,895501;452336,7712;459722,6521;0,010239471;0,008900792
AR;2019/2020;Circulatory;Female;85;21968,98293;22394,96332;452336,7712;459722,6521;0,048567758;0,048714074
AR;2019/2020;Respiratory;Female;85;15106,18622;11770,86065;452336,7712;459722,6521;0,033395884;0,025604265
AR;2019/2020;Pregnancy;Female;85;0;0;452336,7712;459722,6521;0;0
AR;2019/2020;External_causes;Female;85;878,1170483;826,4116261;452336,7712;459722,6521;0,00194129;0,001797631
AR;2019/2020;Undefined ;Female;85;4990,348683;4997,547778;452336,7712;459722,6521;0,011032375;0,010870789
